id,time,frame_num,class,conf,x,y,w,h
1,0.0,0,2.0,0.7441266179084778,1344,639,137,106
2,0.0,0,2.0,0.6503441333770752,981,312,83,55
3,0.0,0,2.0,0.6128410696983337,1356,475,129,68
4,0.0,0,2.0,0.5886349081993103,1159,592,117,112
5,0.0,0,2.0,0.5630333423614502,893,365,76,73
6,0.0,0,2.0,0.5513010025024414,875,301,61,45
7,0.0,0,2.0,0.5493237972259521,823,381,71,56
8,0.0,0,2.0,0.4291926920413971,608,254,48,33
9,0.0,0,2.0,0.4063591957092285,1682,957,160,168
10,0.0,0,2.0,0.3971177935600281,711,273,55,38
11,0.0,0,2.0,0.3564271926879883,1114,363,108,84
12,0.0,0,2.0,0.3027452528476715,674,187,44,50
13,0.0,0,2.0,0.28971442580223083,1123,339,81,40
14,0.0,0,2.0,0.27037426829338074,1738,964,276,180
1,0.03335563962503297,1,2.0,0.6799607872962952,1354,648,145,112
2,0.03335563962503297,1,2.0,0.631779134273529,975,308,82,54
3,0.03335563962503297,1,2.0,0.5919492244720459,1344,468,126,70
4,0.03335563962503297,1,2.0,0.6005846261978149,1165,601,123,116
5,0.03335563962503297,1,2.0,0.6702361702919006,897,368,75,70
6,0.03335563962503297,1,2.0,0.6284775733947754,868,296,59,46
7,0.03335563962503297,1,2.0,0.5721107125282288,825,384,75,56
8,0.03335563962503297,1,2.0,0.3861418068408966,611,252,51,34
9,0.03335563962503297,1,2.0,0.12983782589435577,1693,972,154,177
10,0.03335563962503297,1,2.0,0.2426895797252655,712,270,51,42
11,0.03335563962503297,1,2.0,0.415446013212204,1107,361,103,83
12,0.03335563962503297,1,2.0,0.10632526129484177,674,183,43,45
13,0.03335563962503297,1,2.0,0.39896541833877563,1121,332,77,34
14,0.03335563962503297,1,2.0,0.404611736536026,1748,974,260,189
1,0.06671127925006594,2,2.0,0.7442376017570496,1366,655,147,114
2,0.06671127925006594,2,2.0,0.5900830030441284,969,305,77,54
3,0.06671127925006594,2,2.0,0.6741736531257629,1330,464,123,72
4,0.06671127925006594,2,2.0,0.7557181715965271,1173,608,125,112
