id,time,frame_num,class,conf,x,y,w,h
1,0.0,0,2.0,0.7322520613670349,676,630,95,59
2,0.0,0,2.0,0.7228872776031494,237,875,208,133
3,0.0,0,2.0,0.5821930170059204,911,456,61,44
4,0.0,0,2.0,0.38079944252967834,1231,290,36,36
1,0.03337053207267334,1,2.0,0.7322520613670349,676,630,95,59
2,0.03337053207267334,1,2.0,0.7228872776031494,237,875,208,133
3,0.03337053207267334,1,2.0,0.5821930170059204,911,456,61,44
4,0.03337053207267334,1,2.0,0.38079944252967834,1231,290,36,36
1,0.06674106414534668,2,2.0,0.688317060470581,665,637,98,63
2,0.06674106414534668,2,2.0,0.5202100276947021,214,885,212,132
3,0.06674106414534668,2,2.0,0.6949597001075745,907,456,64,48
4,0.06674106414534668,2,2.0,0.4372430741786957,1228,292,38,34
1,0.10011159621802002,3,2.0,0.7760743498802185,652,646,100,64
2,0.10011159621802002,3,2.0,0.538157045841217,184,901,219,137
3,0.10011159621802002,3,2.0,0.7780637741088867,900,458,67,51
4,0.10011159621802002,3,2.0,0.3889581859111786,1225,295,42,32
1,0.13348212829069336,4,2.0,0.8244372010231018,638,654,101,64
2,0.13348212829069336,4,2.0,0.39301779866218567,152,920,229,144
3,0.13348212829069336,4,2.0,0.6754140853881836,894,461,69,54
4,0.13348212829069336,4,2.0,0.3725450932979584,1222,296,43,32
1,0.1668526603633667,5,2.0,0.8115700483322144,621,664,105,68
2,0.1668526603633667,5,2.0,0.6317786574363708,122,939,235,153
3,0.1668526603633667,5,2.0,0.6516792178153992,888,464,70,56
4,0.1668526603633667,5,2.0,0.4189555048942566,1218,298,43,32
1,0.20022319243604003,6,2.0,0.6975767016410828,604,672,106,68
2,0.20022319243604003,6,2.0,0.5045703649520874,104,959,208,160
3,0.20022319243604003,6,2.0,0.6814486384391785,880,468,72,57
4,0.20022319243604003,6,2.0,0.48434698581695557,1215,298,43,31
1,0.23359372450871338,7,2.0,0.7187474370002747,589,680,109,70
3,0.23359372450871338,7,2.0,0.7266069054603577,873,472,72,58
4,0.23359372450871338,7,2.0,0.45123255252838135,1214,300,41,29
1,0.2669642565813867,8,2.0,0.7483037710189819,571,691,111,73
3,0.2669642565813867,8,2.0,0.6252598166465759,863,477,70,55
4,0.2669642565813867,8,2.0,0.40777045488357544,1212,301,37,28
1,0.30033478865406005,9,2.0,0.86128830909729,555,700,114,74
3,0.30033478865406005,9,2.0,0.7811487317085266,855,482,71,54
4,0.30033478865406005,9,2.0,0.3968047499656677,1210,303,35,29
1,0.3337053207267334,10,2.0,0.8541977405548096,537,709,116,75
3,0.3337053207267334,10,2.0,0.740668535232544,848,486,72,54
4,0.3337053207267334,10,2.0,0.3857440650463104,1208,304,34,31
1,0.36707585279940674,11,2.0,0.8086323142051697,520,720,118,74
3,0.36707585279940674,11,2.0,0.6626824140548706,841,489,72,56
4,0.36707585279940674,11,2.0,0.41750550270080566,1204,305,37,31
1,0.40044638487208006,12,2.0,0.6863327026367188,501,731,121,77
3,0.40044638487208006,12,2.0,0.6423656344413757,831,497,71,53
4,0.40044638487208006,12,2.0,0.5442978143692017,1199,307,42,32
1,0.43381691694475344,13,2.0,0.7296198606491089,483,741,125,77
3,0.43381691694475344,13,2.0,0.5186628699302673,824,500,75,55
4,0.43381691694475344,13,2.0,0.5577573180198669,1197,308,43,34
1,0.46718744901742676,14,2.0,0.772226870059967,461,753,128,83
3,0.46718744901742676,14,2.0,0.6387701630592346,815,504,75,55
4,0.46718744901742676,14,2.0,0.5930337309837341,1194,310,42,34
1,0.5005579810901001,15,2.0,0.7926449775695801,441,764,130,84
