id,time,frame_num,class,conf,x,y,w,h
1,0.0,0,2.0,0.49603256583213806,530,259,46,29
2,0.0,0,2.0,0.4201135039329529,322,445,76,59
3,0.0,0,2.0,0.32733288407325745,1651,328,63,32
4,0.0,0,2.0,0.2890576422214508,1744,316,49,20
5,0.0,0,2.0,0.2821739912033081,374,452,52,40
6,0.0,0,2.0,0.2679121494293213,215,270,51,28
7,0.0,0,2.0,0.26158374547958374,530,248,48,52
1,0.03333835568232331,1,2.0,0.49603256583213806,530,259,46,29
2,0.03333835568232331,1,2.0,0.4201135039329529,322,445,76,59
3,0.03333835568232331,1,2.0,0.32733288407325745,1651,328,63,32
4,0.03333835568232331,1,2.0,0.2890576422214508,1744,316,49,20
5,0.03333835568232331,1,2.0,0.2821739912033081,374,452,52,40
6,0.03333835568232331,1,2.0,0.2679121494293213,215,270,51,28
7,0.03333835568232331,1,2.0,0.26158374547958374,530,248,48,52
1,0.06667671136464662,2,2.0,0.39849191904067993,528,259,45,28
2,0.06667671136464662,2,2.0,0.43878424167633057,325,445,76,64
3,0.06667671136464662,2,2.0,0.3341623842716217,1652,328,62,32
4,0.06667671136464662,2,2.0,0.14429715275764465,1742,316,51,20
5,0.06667671136464662,2,2.0,0.23931600153446198,378,454,53,41
6,0.06667671136464662,2,2.0,0.16510391235351562,212,271,40,27
7,0.06667671136464662,2,2.0,0.138178750872612,528,245,47,55
2,0.10001506704696993,3,2.0,0.5054471492767334,326,446,74,70
3,0.10001506704696993,3,2.0,0.3605618178844452,1652,328,61,32
4,0.10001506704696993,3,2.0,0.1422732025384903,1738,315,54,20
5,0.10001506704696993,3,2.0,0.12165547162294388,376,459,43,43
6,0.10001506704696993,3,2.0,0.16931062936782837,220,272,56,28
7,0.10001506704696993,3,2.0,0.17503733932971954,525,244,46,50
2,0.13335342272929324,4,2.0,0.4334973096847534,329,448,75,76
3,0.13335342272929324,4,2.0,0.3916272222995758,1654,328,65,31
4,0.13335342272929324,4,2.0,0.1824105978012085,1733,314,50,21
6,0.13335342272929324,4,2.0,0.11904920637607574,223,275,64,30
7,0.13335342272929324,4,2.0,0.23136600852012634,522,244,51,47
2,0.16669177841161653,5,2.0,0.4642537236213684,333,454,76,76
3,0.16669177841161653,5,2.0,0.4096028804779053,1654,329,65,30
4,0.16669177841161653,5,2.0,0.24472258985042572,1729,314,45,22
6,0.16669177841161653,5,2.0,0.40010806918144226,226,276,64,32
7,0.16669177841161653,5,2.0,0.4047512114048004,518,242,49,43
11,0.16669177841161653,5,2.0,0.5722643733024597,334,466,77,53
12,0.16669177841161653,5,2.0,0.3724559545516968,248,233,35,26
2,0.20003013409393985,6,2.0,0.6169378161430359,335,461,74,75
3,0.20003013409393985,6,2.0,0.373974084854126,1654,328,64,30
4,0.20003013409393985,6,2.0,0.18459604680538177,1725,314,48,22
6,0.20003013409393985,6,2.0,0.44080817699432373,226,278,64,34
7,0.20003013409393985,6,2.0,0.328203022480011,515,239,48,45
12,0.20003013409393985,6,2.0,0.480826735496521,248,234,35,26
2,0.23336848977626315,7,2.0,0.7298895716667175,338,468,78,74
3,0.23336848977626315,7,2.0,0.4003227651119232,1653,329,63,30
4,0.23336848977626315,7,2.0,0.16673250496387482,1722,311,52,22
