id,time,frame_num,class,conf,x,y,w,h
1,0.0,0,13.0,0.5187366604804993,1409,645,1018,587
2,0.0,0,2.0,0.5117640495300293,510,625,100,114
3,0.0,0,2.0,0.382989764213562,592,509,90,66
4,0.0,0,2.0,0.36618348956108093,297,253,55,42
1,0.033369604108154205,1,13.0,0.5187366604804993,1409,645,1018,587
2,0.033369604108154205,1,2.0,0.5117640495300293,510,625,100,114
3,0.033369604108154205,1,2.0,0.382989764213562,592,509,90,66
4,0.033369604108154205,1,2.0,0.36618348956108093,297,253,55,42
1,0.06673920821630841,2,13.0,0.4957595765590668,1409,645,1017,586
2,0.06673920821630841,2,2.0,0.5369906425476074,514,632,104,117
3,0.06673920821630841,2,2.0,0.4389575719833374,597,514,89,66
4,0.06673920821630841,2,2.0,0.36425772309303284,294,254,48,41
1,0.10010881232446261,3,13.0,0.46407845616340637,1410,645,1016,586
2,0.10010881232446261,3,2.0,0.5584850311279297,521,646,107,120
3,0.10010881232446261,3,2.0,0.5721006989479065,605,522,88,67
4,0.10010881232446261,3,2.0,0.4254324734210968,293,255,44,39
1,0.13347841643261682,4,13.0,0.478881299495697,1408,644,1019,586
2,0.13347841643261682,4,2.0,0.6235136389732361,529,657,106,123
3,0.13347841643261682,4,2.0,0.3890071511268616,614,531,95,69
4,0.13347841643261682,4,2.0,0.46035096049308777,295,256,42,37
1,0.16684802054077102,5,13.0,0.5047276616096497,1408,644,1019,587
2,0.16684802054077102,5,2.0,0.6852160096168518,537,669,110,124
3,0.16684802054077102,5,2.0,0.6105806827545166,624,540,97,70
4,0.16684802054077102,5,2.0,0.45122143626213074,296,257,43,35
1,0.20021762464892523,6,13.0,0.4688853919506073,1409,645,1017,586
2,0.20021762464892523,6,2.0,0.7461971640586853,544,683,114,127
3,0.20021762464892523,6,2.0,0.6019728779792786,631,549,96,71
4,0.20021762464892523,6,2.0,0.5198079347610474,298,260,44,36
1,0.23358722875707943,7,13.0,0.437824010848999,1408,645,1018,589
2,0.23358722875707943,7,2.0,0.6717446446418762,552,696,117,129
3,0.23358722875707943,7,2.0,0.48515182733535767,637,558,96,73
4,0.23358722875707943,7,2.0,0.5618187785148621,298,263,43,36
1,0.26695683286523364,8,13.0,0.4218090772628784,1408,644,1019,588
2,0.26695683286523364,8,2.0,0.7514740228652954,561,710,120,134
3,0.26695683286523364,8,2.0,0.5434163212776184,645,567,100,75
4,0.26695683286523364,8,2.0,0.538529634475708,299,265,43,35
1,0.30032643697338784,9,13.0,0.3645051419734955,1408,644,1020,590
2,0.30032643697338784,9,2.0,0.7236483097076416,569,726,122,140
3,0.30032643697338784,9,2.0,0.6738629341125488,655,577,107,79
4,0.30032643697338784,9,2.0,0.5524128675460815,299,267,42,35
1,0.33369604108154205,10,13.0,0.30779173970222473,1408,645,1018,589
2,0.33369604108154205,10,2.0,0.6179295182228088,578,741,126,144
3,0.33369604108154205,10,2.0,0.5459443926811218,665,587,109,80
4,0.33369604108154205,10,2.0,0.6271818280220032,301,268,44,36
1,0.36706564518969625,11,13.0,0.3146836459636688,1408,645,1019,588
2,0.36706564518969625,11,2.0,0.7522146701812744,587,757,127,148
3,0.36706564518969625,11,2.0,0.6120085120201111,671,598,108,82
4,0.36706564518969625,11,2.0,0.5742812156677246,303,271,44,36
1,0.40043524929785046,12,13.0,0.3443123400211334,1408,644,1019,588
2,0.40043524929785046,12,2.0,0.7243937849998474,597,774,130,154
3,0.40043524929785046,12,2.0,0.5632930397987366,679,609,108,84
4,0.40043524929785046,12,2.0,0.3912948668003082,303,272,42,36
1,0.43380485340600466,13,13.0,0.3715142011642456,1407,645,1021,591
2,0.43380485340600466,13,2.0,0.5433443784713745,607,792,136,160
3,0.43380485340600466,13,2.0,0.6447145342826843,690,621,112,85
4,0.43380485340600466,13,2.0,0.38828182220458984,304,274,42,36
1,0.46717445751415887,14,13.0,0.3760218918323517,1406,644,1022,594
2,0.46717445751415887,14,2.0,0.43418341875076294,618,810,142,166
3,0.46717445751415887,14,2.0,0.5683664679527283,699,632,114,89
4,0.46717445751415887,14,2.0,0.2809603214263916,304,276,39,36
1,0.500544061622313,15,13.0,0.36475545167922974,1407,643,1022,592
2,0.500544061622313,15,2.0,0.37112146615982056,630,830,145,171
3,0.500544061622313,15,2.0,0.595082700252533,711,645,119,90
1,0.5339136657304673,16,13.0,0.3297439515590668,1408,643,1020,590
2,0.5339136657304673,16,2.0,0.4867963492870331,641,850,150,176
3,0.5339136657304673,16,2.0,0.5297250151634216,719,658,121,93
1,0.5672832698386214,17,13.0,0.40600255131721497,1407,643,1022,590
2,0.5672832698386214,17,2.0,0.6213676929473877,654,869,155,181
3,0.5672832698386214,17,2.0,0.6291651725769043,731,670,122,98
4,0.5672832698386214,17,2.0,0.3914354741573334,311,281,47,38
1,0.6006528739467757,18,13.0,0.3397882580757141,1407,642,1021,589
2,0.6006528739467757,18,2.0,0.38650810718536377,666,898,160,201
3,0.6006528739467757,18,2.0,0.6599656939506531,743,685,125,102
4,0.6006528739467757,18,2.0,0.41500166058540344,314,285,51,43
1,0.6340224780549298,19,13.0,0.3211882710456848,1408,643,1020,590
2,0.6340224780549298,19,2.0,0.28191423416137695,678,919,163,203
3,0.6340224780549298,19,2.0,0.5646832585334778,754,699,126,106
4,0.6340224780549298,19,2.0,0.3273099958896637,318,288,56,44
1,0.6673920821630841,20,13.0,0.3764679431915283,1408,643,1019,591
2,0.6673920821630841,20,2.0,0.46914568543434143,692,941,173,206
3,0.6673920821630841,20,2.0,0.5960783958435059,768,714,135,110
4,0.6673920821630841,20,2.0,0.31155550479888916,320,291,61,44
1,0.7007616862712382,21,13.0,0.4164987802505493,1408,644,1019,592
2,0.7007616862712382,21,2.0,0.22519172728061676,703,965,172,210
3,0.7007616862712382,21,2.0,0.5567514300346375,781,729,135,115
4,0.7007616862712382,21,2.0,0.3647395372390747,322,293,63,44
1,0.7341312903793925,22,13.0,0.4255021810531616,1406,643,1022,593
2,0.7341312903793925,22,2.0,0.24208076298236847,727,981,193,196
3,0.7341312903793925,22,2.0,0.7165602445602417,795,746,137,121
4,0.7341312903793925,22,2.0,0.4064953923225403,322,295,60,46
1,0.7675008944875467,23,13.0,0.5209523439407349,1406,643,1023,591
3,0.7675008944875467,23,2.0,0.36289268732070923,809,763,143,124
4,0.7675008944875467,23,2.0,0.2966984212398529,323,296,57,47
1,0.8008704985957009,24,13.0,0.517470121383667,1406,643,1023,591
3,0.8008704985957009,24,2.0,0.523910403251648,827,782,149,129
4,0.8008704985957009,24,2.0,0.2739666998386383,325,298,57,46
1,0.8342401027038551,25,13.0,0.4819474220275879,1406,645,1022,593
3,0.8342401027038551,25,2.0,0.5537916421890259,844,801,155,135
4,0.8342401027038551,25,2.0,0.1956373006105423,324,301,54,45
1,0.8676097068120093,26,13.0,0.5098502039909363,1407,645,1020,593
3,0.8676097068120093,26,2.0,0.7445732355117798,861,821,159,139
4,0.8676097068120093,26,2.0,0.2945386469364166,325,304,51,42
1,0.9009793109201635,27,13.0,0.49339261651039124,1407,645,1020,593
3,0.9009793109201635,27,2.0,0.7987555861473083,879,842,164,143
4,0.9009793109201635,27,2.0,0.35282301902770996,327,306,54,45
1,0.9343489150283177,28,13.0,0.45720174908638,1406,645,1021,595
3,0.9343489150283177,28,2.0,0.6713874936103821,900,866,170,151
4,0.9343489150283177,28,2.0,0.5002322196960449,328,309,53,45
1,0.9677185191364719,29,13.0,0.47694891691207886,1404,647,1026,602
3,0.9677185191364719,29,2.0,0.6330820322036743,919,889,176,157
4,0.9677185191364719,29,2.0,0.4435999393463135,331,311,58,46
1,1.001088123244626,30,13.0,0.4856818616390228,1404,647,1026,601
3,1.001088123244626,30,2.0,0.7181410193443298,942,914,185,166
4,1.001088123244626,30,2.0,0.5244272947311401,333,314,57,46
1,1.0344577273527804,31,13.0,0.520477294921875,1405,646,1025,600
3,1.0344577273527804,31,2.0,0.7828992605209351,965,940,192,175
4,1.0344577273527804,31,2.0,0.5158161520957947,333,317,54,48
1,1.0678273314609346,32,13.0,0.5213555097579956,1405,645,1024,596
3,1.0678273314609346,32,2.0,0.7778229117393494,994,968,206,183
4,1.0678273314609346,32,2.0,0.6589515805244446,336,321,58,48
1,1.1011969355690887,33,13.0,0.5753331184387207,1405,645,1024,596
3,1.1011969355690887,33,2.0,0.7893074750900269,1019,989,211,177
4,1.1011969355690887,33,2.0,0.4844694137573242,336,323,54,48
1,1.1345665396772429,34,13.0,0.58259516954422,1406,646,1023,595
3,1.1345665396772429,34,2.0,0.7003229260444641,1046,1003,220,152
4,1.1345665396772429,34,2.0,0.4947492480278015,344,326,69,49
1,1.1679361437853972,35,13.0,0.5501219034194946,1406,646,1023,596
3,1.1679361437853972,35,2.0,0.11529882997274399,1066,1017,210,124
4,1.1679361437853972,35,2.0,0.6633532047271729,343,329,66,51
1,1.2013057478935514,36,13.0,0.5547734498977661,1407,652,1023,615
4,1.2013057478935514,36,2.0,0.50144362449646,348,332,74,54
1,1.2346753520017055,37,13.0,0.5640513896942139,1407,653,1023,618
4,1.2346753520017055,37,2.0,0.41889283061027527,349,335,73,55
1,1.2680449561098597,38,13.0,0.5474463701248169,1406,653,1024,616
4,1.2680449561098597,38,2.0,0.4816383123397827,349,337,70,56
1,1.301414560218014,39,13.0,0.5760007500648499,1406,652,1023,610
4,1.301414560218014,39,2.0,0.5096642374992371,349,340,64,54
1,1.3347841643261682,40,13.0,0.5753238201141357,1407,655,1023,621
4,1.3347841643261682,40,2.0,0.439455509185791,353,343,65,55
1,1.3681537684343223,41,13.0,0.6035065054893494,1407,656,1024,625
4,1.3681537684343223,41,2.0,0.3131423592567444,354,347,64,53
1,1.4015233725424765,42,13.0,0.5938515067100525,1406,654,1024,616
4,1.4015233725424765,42,2.0,0.43843695521354675,355,351,64,54
1,1.4348929766506309,43,13.0,0.593113124370575,1404,653,1027,611
4,1.4348929766506309,43,2.0,0.4976096451282501,358,354,65,55
1,1.468262580758785,44,13.0,0.5750856995582581,1404,653,1028,609
4,1.468262580758785,44,2.0,0.25002530217170715,361,358,69,56
1,1.5016321848669392,45,13.0,0.5840228199958801,1404,651,1027,605
4,1.5016321848669392,45,2.0,0.30312812328338623,361,362,66,57
1,1.5350017889750933,46,13.0,0.5921300649642944,1405,651,1025,601
4,1.5350017889750933,46,2.0,0.330013245344162,364,364,68,59
1,1.5683713930832477,47,13.0,0.6014838814735413,1405,652,1024,602
4,1.5683713930832477,47,2.0,0.2104427069425583,366,367,69,60
1,1.6017409971914018,48,13.0,0.5827227234840393,1405,651,1025,602
4,1.6017409971914018,48,2.0,0.33203092217445374,368,372,69,59
1,1.635110601299556,49,13.0,0.5862725973129272,1405,651,1025,601
4,1.635110601299556,49,2.0,0.59783536195755,371,377,70,60
1,1.6684802054077101,50,13.0,0.5957948565483093,1404,652,1027,604
4,1.6684802054077101,50,2.0,0.19091735780239105,375,381,74,62
1,1.7018498095158645,51,13.0,0.55218106508255,1403,652,1029,604
4,1.7018498095158645,51,2.0,0.4324829876422882,378,385,73,65
1,1.7352194136240187,52,13.0,0.5454406142234802,1403,652,1030,606
4,1.7352194136240187,52,2.0,0.4066568911075592,388,390,86,64
1,1.7685890177321728,53,13.0,0.5230216383934021,1402,652,1031,609
4,1.7685890177321728,53,2.0,0.22487325966358185,386,395,78,63
1,1.801958621840327,54,13.0,0.5113069415092468,1402,652,1032,610
4,1.801958621840327,54,2.0,0.4178573787212372,388,400,77,63
1,1.8353282259484813,55,13.0,0.5027625560760498,1402,653,1032,615
4,1.8353282259484813,55,2.0,0.5812527537345886,391,405,76,64
1,1.8686978300566355,56,13.0,0.4839365780353546,1401,654,1033,615
4,1.8686978300566355,56,2.0,0.5564287900924683,392,409,75,65
1,1.9020674341647896,57,13.0,0.4965265691280365,1403,652,1030,610
4,1.9020674341647896,57,2.0,0.5426599383354187,395,413,74,68
1,1.9354370382729438,58,13.0,0.49569565057754517,1404,652,1027,607
4,1.9354370382729438,58,2.0,0.5259342789649963,399,418,79,68
1,1.9688066423810981,59,13.0,0.44979146122932434,1403,651,1030,609
4,1.9688066423810981,59,2.0,0.3120470643043518,402,424,80,72
1,2.002176246489252,60,13.0,0.4968205392360687,1402,652,1032,607
4,2.002176246489252,60,2.0,0.44919678568840027,405,429,82,73
1,2.0355458505974067,61,13.0,0.46446552872657776,1402,653,1032,609
4,2.0355458505974067,61,2.0,0.4704923629760742,409,435,82,73
1,2.068915454705561,62,13.0,0.47231218218803406,1402,652,1031,605
4,2.068915454705561,62,2.0,0.40212133526802063,412,441,84,74
1,2.102285058813715,63,13.0,0.5005433559417725,1402,653,1031,608
4,2.102285058813715,63,2.0,0.3401392102241516,415,446,83,75
1,2.135654662921869,64,13.0,0.4640029966831207,1404,652,1027,607
4,2.135654662921869,64,2.0,0.4426400661468506,418,453,84,75
1,2.1690242670300233,65,13.0,0.4607180058956146,1404,650,1027,607
4,2.1690242670300233,65,2.0,0.23254121840000153,421,459,85,77
1,2.2023938711381774,66,13.0,0.4358028173446655,1405,649,1025,607
4,2.2023938711381774,66,2.0,0.6203911900520325,427,466,88,81
1,2.2357634752463316,67,13.0,0.38766247034072876,1406,649,1024,607
4,2.2357634752463316,67,2.0,0.37893614172935486,431,472,87,82
1,2.2691330793544857,68,13.0,0.3844779133796692,1407,649,1022,606
4,2.2691330793544857,68,2.0,0.5292579531669617,434,478,87,83
1,2.3025026834626403,69,13.0,0.38414880633354187,1407,650,1021,605
4,2.3025026834626403,69,2.0,0.46153342723846436,438,485,90,84
1,2.3358722875707945,70,13.0,0.41483819484710693,1408,649,1019,600
4,2.3358722875707945,70,2.0,0.5306740403175354,443,492,93,86
1,2.3692418916789486,71,13.0,0.4236244857311249,1410,648,1016,596
4,2.3692418916789486,71,2.0,0.5587417483329773,449,500,95,90
9,2.3692418916789486,71,2.0,0.5146199464797974,1879,556,78,33
1,2.4026114957871028,72,13.0,0.3426714241504669,1409,647,1017,597
4,2.4026114957871028,72,2.0,0.561345100402832,452,508,96,92
9,2.4026114957871028,72,2.0,0.41258886456489563,1875,556,81,33
1,2.435981099895257,73,13.0,0.4089747965335846,1408,646,1019,598
4,2.435981099895257,73,2.0,0.6116489171981812,457,515,99,98
9,2.435981099895257,73,2.0,0.22837892174720764,1868,557,76,30
1,2.469350704003411,74,13.0,0.37954726815223694,1407,646,1021,599
4,2.469350704003411,74,2.0,0.49148091673851013,462,521,102,100
9,2.469350704003411,74,2.0,0.1282806098461151,1862,557,69,24
1,2.502720308111565,75,13.0,0.37689343094825745,1407,646,1022,598
4,2.502720308111565,75,2.0,0.6118481755256653,467,532,102,99
1,2.5360899122197194,76,13.0,0.33897873759269714,1407,645,1022,597
4,2.5360899122197194,76,2.0,0.5153998136520386,471,540,106,103
1,2.569459516327874,77,13.0,0.34421467781066895,1407,646,1022,597
4,2.569459516327874,77,2.0,0.5598728656768799,477,550,108,105
1,2.602829120436028,78,13.0,0.37834087014198303,1407,646,1022,597
4,2.602829120436028,78,2.0,0.4818635880947113,483,560,109,106
1,2.6361987245441822,79,13.0,0.3329801559448242,1405,646,1025,599
4,2.6361987245441822,79,2.0,0.6896253228187561,488,570,109,108
1,2.6695683286523364,80,13.0,0.3843245804309845,1406,647,1023,598
4,2.6695683286523364,80,2.0,0.6667240262031555,494,580,109,112
1,2.7029379327604905,81,13.0,0.3690586984157562,1406,646,1023,596
4,2.7029379327604905,81,2.0,0.45960643887519836,500,592,113,115
1,2.7363075368686447,82,13.0,0.33451321721076965,1408,647,1020,593
4,2.7363075368686447,82,2.0,0.4142526090145111,508,604,119,117
1,2.769677140976799,83,13.0,0.35792797803878784,1408,648,1019,591
4,2.769677140976799,83,2.0,0.7528743147850037,516,616,120,121
1,2.803046745084953,84,13.0,0.36653679609298706,1409,648,1018,593
4,2.803046745084953,84,2.0,0.721510648727417,523,627,125,126
15,2.803046745084953,84,2.0,0.37886297702789307,1894,523,49,31
1,2.8364163491931076,85,13.0,0.3315759003162384,1410,648,1016,601
4,2.8364163491931076,85,2.0,0.5087793469429016,531,639,129,132
15,2.8364163491931076,85,2.0,0.6567855477333069,1892,521,54,33
1,2.8697859533012617,86,13.0,0.32582539319992065,1411,650,1015,606
4,2.8697859533012617,86,2.0,0.5882002115249634,538,648,132,140
15,2.8697859533012617,86,2.0,0.7084728479385376,1889,522,58,37
1,2.903155557409416,87,13.0,0.32685720920562744,1410,649,1016,609
4,2.903155557409416,87,2.0,0.7318262457847595,547,661,136,148
15,2.903155557409416,87,2.0,0.657682478427887,1887,524,62,35
1,2.93652516151757,88,13.0,0.2955092787742615,1408,645,1020,599
4,2.93652516151757,88,2.0,0.6386792659759521,554,679,139,147
15,2.93652516151757,88,2.0,0.5586569309234619,1884,525,69,37
1,2.969894765625724,89,13.0,0.29171302914619446,1407,643,1022,595
4,2.969894765625724,89,2.0,0.5166431069374084,563,696,143,151
15,2.969894765625724,89,2.0,0.4395448565483093,1881,525,75,39
1,3.0032643697338783,90,13.0,0.29475370049476624,1407,644,1020,594
4,3.0032643697338783,90,2.0,0.4313032329082489,572,713,145,153
15,3.0032643697338783,90,2.0,0.5837160348892212,1878,525,80,41
1,3.0366339738420325,91,13.0,0.3420991599559784,1407,645,1021,592
4,3.0366339738420325,91,2.0,0.4780072271823883,582,728,151,158
15,3.0366339738420325,91,2.0,0.58304363489151,1876,525,85,42
1,3.0700035779501866,92,13.0,0.3257922828197479,1407,645,1021,591
4,3.0700035779501866,92,2.0,0.6689894795417786,591,747,154,164
15,3.0700035779501866,92,2.0,0.47636011242866516,1873,525,90,45
1,3.1033731820583412,93,13.0,0.36745381355285645,1407,645,1021,592
4,3.1033731820583412,93,2.0,0.48548275232315063,604,765,161,172
15,3.1033731820583412,93,2.0,0.49248042702674866,1871,525,95,46
1,3.1367427861664954,94,13.0,0.4370651841163635,1407,646,1021,593
4,3.1367427861664954,94,2.0,0.5244529247283936,615,785,164,181
15,3.1367427861664954,94,2.0,0.47130951285362244,1868,528,102,43
22,3.1367427861664954,94,7.0,0.4565216898918152,615,785,165,179
1,3.1701123902746495,95,13.0,0.45488592982292175,1406,645,1022,593
4,3.1701123902746495,95,7.0,0.5761081576347351,626,805,171,186
15,3.1701123902746495,95,2.0,0.5111835598945618,1865,527,107,45
1,3.2034819943828037,96,13.0,0.45990610122680664,1406,644,1023,596
4,3.2034819943828037,96,7.0,0.3876403272151947,638,824,175,196
15,3.2034819943828037,96,2.0,0.546723484992981,1862,529,108,48
1,3.236851598490958,97,13.0,0.45384329557418823,1405,644,1024,597
4,3.236851598490958,97,2.0,0.4793998599052429,652,848,184,204
15,3.236851598490958,97,2.0,0.5114797353744507,1858,530,108,48
1,3.270221202599112,98,13.0,0.473877876996994,1405,646,1025,602
4,3.270221202599112,98,2.0,0.523221492767334,666,872,190,214
15,3.270221202599112,98,2.0,0.4379368722438812,1854,531,108,49
1,3.303590806707266,99,13.0,0.49674180150032043,1404,646,1027,607
4,3.303590806707266,99,2.0,0.36152172088623047,681,900,198,232
15,3.303590806707266,99,2.0,0.24768893420696259,1851,532,109,47
1,3.3369604108154203,100,13.0,0.4973878860473633,1404,649,1027,621
4,3.3369604108154203,100,2.0,0.5241094827651978,694,926,199,235
15,3.3369604108154203,100,2.0,0.36931708455085754,1847,532,110,46
