id,time,frame_num,class,conf,x,y,w,h
1,0.0,0,2.0,0.7047478556632996,420,326,43,33
2,0.0,0,2.0,0.691672682762146,445,266,42,30
3,0.0,0,2.0,0.576233446598053,1877,354,66,26
4,0.0,0,2.0,0.5193610787391663,792,341,72,48
5,0.0,0,2.0,0.5125408172607422,712,273,46,29
6,0.0,0,2.0,0.48136571049690247,1174,385,51,28
7,0.0,0,7.0,0.4583936929702759,1763,759,310,294
8,0.0,0,2.0,0.4219367504119873,221,648,156,90
9,0.0,0,2.0,0.4090840816497803,834,303,54,36
10,0.0,0,2.0,0.38550275564193726,1780,339,64,33
11,0.0,0,7.0,0.328919380903244,281,557,125,83
12,0.0,0,2.0,0.3069362938404083,1110,458,94,62
13,0.0,0,2.0,0.2935284674167633,372,235,35,35
14,0.0,0,7.0,0.26646688580513,1109,458,93,63
15,0.0,0,2.0,0.26051124930381775,520,508,86,69
1,0.03333375925925926,1,2.0,0.7047478556632996,420,326,43,33
2,0.03333375925925926,1,2.0,0.691672682762146,445,266,42,30
3,0.03333375925925926,1,2.0,0.576233446598053,1877,354,66,26
4,0.03333375925925926,1,2.0,0.5193610787391663,792,341,72,48
5,0.03333375925925926,1,2.0,0.5125408172607422,712,273,46,29
6,0.03333375925925926,1,2.0,0.48136571049690247,1174,385,51,28
7,0.03333375925925926,1,7.0,0.4583936929702759,1763,759,310,294
8,0.03333375925925926,1,2.0,0.4219367504119873,221,648,156,90
9,0.03333375925925926,1,2.0,0.4090840816497803,834,303,54,36
10,0.03333375925925926,1,2.0,0.38550275564193726,1780,339,64,33
11,0.03333375925925926,1,7.0,0.328919380903244,281,557,125,83
12,0.03333375925925926,1,2.0,0.3069362938404083,1110,458,94,62
13,0.03333375925925926,1,2.0,0.2935284674167633,372,235,35,35
14,0.03333375925925926,1,7.0,0.26646688580513,1109,458,93,63
15,0.03333375925925926,1,2.0,0.26051124930381775,520,508,86,69
1,0.06666751851851851,2,2.0,0.697709321975708,420,327,43,32
2,0.06666751851851851,2,2.0,0.6874991059303284,446,266,42,31
3,0.06666751851851851,2,2.0,0.588119387626648,1877,354,66,26
4,0.06666751851851851,2,2.0,0.5617253184318542,787,339,72,47
5,0.06666751851851851,2,2.0,0.5162184834480286,710,273,44,27
6,0.06666751851851851,2,2.0,0.38968533277511597,1172,385,47,29
7,0.06666751851851851,2,7.0,0.362933486700058,1752,750,332,299
8,0.06666751851851851,2,2.0,0.2133285105228424,218,650,154,92
9,0.06666751851851851,2,2.0,0.5671590566635132,831,301,55,37
10,0.06666751851851851,2,2.0,0.38842567801475525,1779,339,64,34
13,0.06666751851851851,2,2.0,0.33662787079811096,373,235,37,35
14,0.06666751851851851,2,2.0,0.6202576160430908,1098,453,92,62
15,0.06666751851851851,2,2.0,0.363951712846756,523,516,84,63
1,0.10000127777777777,3,2.0,0.740369439125061,422,328,42,32
2,0.10000127777777777,3,2.0,0.6587693691253662,447,268,41,33
3,0.10000127777777777,3,2.0,0.5599925518035889,1877,354,66,26
4,0.10000127777777777,3,2.0,0.47310778498649597,780,336,69,47
5,0.10000127777777777,3,2.0,0.5966707468032837,706,272,43,27
6,0.10000127777777777,3,2.0,0.36875101923942566,1171,385,48,30
7,0.10000127777777777,3,7.0,0.3714360296726227,1739,741,358,302
8,0.10000127777777777,3,2.0,0.3967885375022888,211,654,156,90
9,0.10000127777777777,3,2.0,0.5684174299240112,827,299,51,37
10,0.10000127777777777,3,2.0,0.38626208901405334,1780,338,64,34
13,0.10000127777777777,3,2.0,0.33112332224845886,374,236,37,37
14,0.10000127777777777,3,2.0,0.497406542301178,1088,448,91,60
15,0.10000127777777777,3,7.0,0.18984341621398926,526,518,85,73
11,0.10000127777777777,3,7.0,0.3128634989261627,273,566,148,103
1,0.13333503703703703,4,2.0,0.6991152167320251,423,330,42,34
2,0.13333503703703703,4,2.0,0.588890552520752,448,269,40,32
3,0.13333503703703703,4,2.0,0.5788062810897827,1877,354,66,26
4,0.13333503703703703,4,2.0,0.42867666482925415,772,335,70,47
5,0.13333503703703703,4,2.0,0.6226069927215576,704,271,39,27
6,0.13333503703703703,4,2.0,0.38971006870269775,1169,385,47,28
7,0.13333503703703703,4,7.0,0.3431682288646698,1726,729,384,300
8,0.13333503703703703,4,7.0,0.2638493776321411,205,656,157,96
9,0.13333503703703703,4,2.0,0.5976768732070923,820,297,51,34
10,0.13333503703703703,4,2.0,0.30576351284980774,1778,338,66,36
13,0.13333503703703703,4,2.0,0.21975091099739075,374,236,37,37
14,0.13333503703703703,4,2.0,0.5023369789123535,1076,442,84,59
15,0.13333503703703703,4,2.0,0.4264638423919678,532,525,86,80
11,0.13333503703703703,4,7.0,0.3860134482383728,271,569,154,107
1,0.1666687962962963,5,2.0,0.6893540620803833,423,334,42,36
2,0.1666687962962963,5,2.0,0.6068477630615234,449,270,41,31
3,0.1666687962962963,5,2.0,0.5705993175506592,1877,354,66,26
4,0.1666687962962963,5,2.0,0.5862017869949341,768,333,68,45
5,0.1666687962962963,5,2.0,0.5306742787361145,701,268,38,29
6,0.1666687962962963,5,2.0,0.3055536150932312,1168,385,44,26
7,0.1666687962962963,5,7.0,0.4917509853839874,1713,720,410,310
8,0.1666687962962963,5,7.0,0.1869550347328186,199,657,163,99
9,0.1666687962962963,5,2.0,0.553756058216095,816,296,50,32
10,0.1666687962962963,5,2.0,0.27500057220458984,1778,337,67,36
13,0.1666687962962963,5,2.0,0.32182350754737854,374,237,37,38
14,0.1666687962962963,5,2.0,0.5216101408004761,1065,437,84,57
15,0.1666687962962963,5,2.0,0.540256917476654,536,529,90,88
11,0.1666687962962963,5,7.0,0.36532288789749146,270,568,155,105
1,0.20000255555555554,6,2.0,0.6239143013954163,424,338,42,36
2,0.20000255555555554,6,2.0,0.5850407481193542,451,272,38,29
3,0.20000255555555554,6,2.0,0.5797592401504517,1877,354,66,26
4,0.20000255555555554,6,2.0,0.5695024132728577,764,329,65,42
5,0.20000255555555554,6,2.0,0.5240471959114075,700,267,37,30
6,0.20000255555555554,6,2.0,0.22612661123275757,1167,386,41,25
7,0.20000255555555554,6,7.0,0.40641698241233826,1700,703,436,306
8,0.20000255555555554,6,2.0,0.42870983481407166,193,664,166,93
9,0.20000255555555554,6,2.0,0.4926379323005676,811,294,48,32
10,0.20000255555555554,6,2.0,0.3492734432220459,1777,337,69,37
13,0.20000255555555554,6,2.0,0.30968794226646423,375,238,38,37
14,0.20000255555555554,6,2.0,0.3621480166912079,1055,433,85,57
15,0.20000255555555554,6,2.0,0.6682712435722351,538,534,92,93
11,0.20000255555555554,6,7.0,0.32886675000190735,268,569,155,104
1,0.23333631481481482,7,2.0,0.5775665640830994,424,341,42,35
2,0.23333631481481482,7,2.0,0.4914149343967438,454,274,39,29
3,0.23333631481481482,7,2.0,0.5808204412460327,1877,354,66,26
4,0.23333631481481482,7,2.0,0.6910400390625,757,326,65,42
5,0.23333631481481482,7,2.0,0.5487032532691956,696,265,38,29
6,0.23333631481481482,7,2.0,0.16780155897140503,1166,386,38,23
7,0.23333631481481482,7,7.0,0.41623324155807495,1688,687,461,290
8,0.23333631481481482,7,2.0,0.6017583608627319,184,671,156,86
9,0.23333631481481482,7,2.0,0.6323442459106445,808,293,50,32
10,0.23333631481481482,7,2.0,0.299350380897522,1777,337,69,36
13,0.23333631481481482,7,2.0,0.29857227206230164,376,240,36,36
14,0.23333631481481482,7,2.0,0.5892326235771179,1045,428,85,56
15,0.23333631481481482,7,2.0,0.40704357624053955,542,543,94,96
11,0.23333631481481482,7,7.0,0.27525657415390015,265,570,149,102
23,0.23333631481481482,7,2.0,0.35078200697898865,1270,367,45,28
24,0.23333631481481482,7,2.0,0.355824738740921,578,480,53,30
1,0.26667007407407406,8,2.0,0.5960099697113037,427,343,44,36
2,0.26667007407407406,8,2.0,0.5298307538032532,455,275,41,29
3,0.26667007407407406,8,2.0,0.5854707956314087,1877,354,66,26
4,0.26667007407407406,8,2.0,0.5333027243614197,753,324,63,42
5,0.26667007407407406,8,2.0,0.4846108555793762,693,264,37,30
6,0.26667007407407406,8,2.0,0.29320603609085083,1166,387,37,23
7,0.26667007407407406,8,7.0,0.5320801734924316,1667,678,462,290
8,0.26667007407407406,8,2.0,0.5857378840446472,178,675,153,79
9,0.26667007407407406,8,2.0,0.3891136944293976,804,292,47,30
10,0.26667007407407406,8,2.0,0.21024881303310394,1778,339,63,33
13,0.26667007407407406,8,2.0,0.3375030755996704,375,239,34,34
14,0.26667007407407406,8,2.0,0.6504145860671997,1035,423,82,55
15,0.26667007407407406,8,2.0,0.41480138897895813,547,552,98,99
11,0.26667007407407406,8,7.0,0.21904388070106506,263,570,149,102
23,0.26667007407407406,8,2.0,0.3827897012233734,1269,367,47,28
24,0.26667007407407406,8,2.0,0.316638708114624,577,480,54,30
1,0.30000383333333336,9,2.0,0.5738694071769714,429,346,45,36
